metric,mean,median,std,p10,p90,min,max
CO2_abs_allocated,6106480.6501301555,4605125.372946,5472561.528733403,883602.4813844999,13081040.094756354,0.0,36583062.208510995
CO_abs_allocated,19614.911689222343,3233.1311505,45360.4564529641,382.97263780000003,55599.13103000002,0.0,606289.048146
HC_abs_allocated,547.6698463908297,326.80986825,791.9123152983461,53.0230005,1225.9785207000007,0.0,9713.37652
NOx_abs_allocated,15557.150091822052,4480.0345525,24500.930140332915,460.2306724,43771.418800150015,0.0,237426.604828
PMx_abs_allocated,1020.0216575735079,623.9744205,1332.8638374943762,111.85289775,2311.6428276000006,13.371209,15290.847873
fuel_abs_allocated,1968953.0769750103,1488813.655248,1763325.6246020396,284713.9717148,4220014.21383,0.0,11757768.852931999
electricity_abs_allocated,32.46422713901019,0.0,389.48799611491876,0.0,0.0,0.0,7201.752227
CO2_abs_allocated_per_km,200027.25009916018,207410.9679433432,61502.6668756004,112573.60607706751,243748.4585239032,0.0,802230.131472927
