emission,total_raw,raw_unit,factor_to_converted,total_converted,converted_unit
NOx_abs,519333872.0632422,mg,0.001,519333.8720632422,g
CO_abs,258742687.36849517,mg,0.001,258742.6873684952,g
CO2_abs,103365562222.81682,mg,1e-06,103365.5622228168,kg
fuel_abs,33081423486.264027,mg,1e-06,33081.42348626402,kg
HC_abs,29045696.799829025,mg,0.001,29045.696799829024,g
PMx_abs,19205055.060061846,mg,0.001,19205.055060061848,g
electricity_abs,539663.9097709998,Wh,0.001,539.6639097709998,kWh
