person_id,CO2_abs_allocated,routeLength,share,cum_share
540636,36583062.208510995,163878.62,0.004360159108245604,0.004360159108245604
482594,35202546.303951,157786.57,0.004195622062083711,0.008555781170329315
122835,35046535.041264,177936.07,0.0041770278305752456,0.01273280900090456
540086,34530919.629029,159344.3,0.004115574111277652,0.016848383112182213
483479,32533964.995595,148214.6,0.0038775666999763965,0.020725949812158608
482736,31849151.110482,146049.54,0.0037959470290584753,0.024521896841217083
143584,29886412.429014,139089.76,0.003562017652388698,0.028083914493605783
142832,28589247.271401003,148497.8,0.0034074147805834686,0.03149132927418925
144204,28068658.924785998,157574.31,0.0033453683611721417,0.034836697635361395
143688,27037207.945508,122605.23,0.0032224346833850063,0.0380591323187464
123127,26719630.702832,166149.77,0.003184584180348026,0.041243716499094425
226137,26623804.875588,44970.01,0.003173163161214043,0.04441687966030847
123513,26541585.686440002,129593.35,0.003163363851785189,0.04758024351209365
482052,25227180.546531,121631.45,0.003006706229467127,0.05058694974156078
416990,25180216.828268,115467.64,0.003001108849926443,0.05358805859148722
283046,24725950.722521,81201.59,0.002946967059191406,0.056535025650678625
482675,24714514.843263,140232.6,0.002945604071784191,0.05948062972246282
282820,24286814.661251,105068.74,0.0028946285456358067,0.06237525826809862
225212,24188583.356409997,38642.13,0.0028829208292047393,0.06525817909730336
481876,23981460.850328,123620.29000000001,0.0028582348945973847,0.06811641399190074
225734,23879511.538055003,32185.660000000003,0.002846084046755482,0.07096249803865623
481341,23788261.053832002,112156.75,0.002835208340734782,0.07379770637939101
482667,23313808.797248,108515.26999999999,0.00277866065983859,0.0765763670392296
122203,22939634.230346,28594.83,0.002734064594133297,0.07931043163336289
481594,22446185.654047,98383.45,0.002675252833320656,0.08198568446668354
283004,22310590.254343,50145.759999999995,0.0026590918702584093,0.08464477633694195
283229,21753007.055189,106621.12,0.002592636212431317,0.08723741254937327
226482,21666337.034346,103405.28,0.0025823064297948455,0.08981971897916811
282523,21400704.311403,98469.3,0.0025506469440528742,0.09237036592322098
417711,21325649.907981,98406.81,0.0025417015709501755,0.09491206749417115
540038,21166699.598535,93440.94,0.002522757048604307,0.09743482454277545
226206,20989084.092274,111199.1,0.002501587911286726,0.09993641245406218
482830,20936243.513221,106556.04000000001,0.0024952900969941517,0.10243170255105633
482769,20807978.533941,69591.13,0.0024800028114605062,0.10491170536251683
539917,20559216.709496,34012.5,0.0024503540869099047,0.10736205944942673
481365,20516422.18403,107390.95999999999,0.0024452536133921297,0.10980731306281885
76296,20073380.39936,94254.15,0.0023924495954629563,0.11219976265828181
481955,20029242.395392,97393.71,0.002387188999208767,0.11458695165749058
123416,19974120.846434,106693.66,0.002380619327091655,0.11696757098458224
417543,19939694.890018,100965.78,0.0023765162630405446,0.11934408724762278
143259,19759129.836255,86785.69,0.0023549955833525424,0.12169908283097533
143630,19551697.769614,96069.89,0.0023302727537120936,0.12402935558468742
223993,19465462.761432,88426.95,0.0023199948181409453,0.12634935040282835
143289,19425102.23398,87998.25,0.0023151844411314865,0.12866453484395984
224078,19377394.178073,94544.91,0.002309498347569554,0.1309740331915294
227020,19371250.129164,119201.3,0.0023087660679517513,0.13328279925948114
122170,19308455.145835,86616.79000000001,0.002301281836124642,0.13558408109560577
482634,19163915.650327,105338.57,0.0022840548693319656,0.13786813596493774
482668,19027796.746059,96173.57,0.002267831512280394,0.14013596747721813
143178,18970503.132646002,90991.20999999999,0.002261002962255162,0.14239697043947327
