euro,count_all,count_top,share_all,share_top,enrichment,coverage
Euro-2,23,2.0,0.016739446870451237,0.04,2.3895652173913042,0.08695652173913043
Euro-3,182,14.0,0.1324599708879185,0.28,2.1138461538461537,0.07692307692307693
Euro-1,31,1.0,0.022561863173216887,0.02,0.8864516129032257,0.03225806451612903
Euro-6ab,801,24.0,0.5829694323144105,0.48,0.8233707865168539,0.0299625468164794
Euro-4,306,9.0,0.22270742358078602,0.18,0.808235294117647,0.029411764705882353
unknown,13,0.0,0.009461426491994178,0.0,0.0,0.0
petrol_Euro-6_(LPG),11,0.0,0.008005822416302766,0.0,0.0,0.0
petrol_Euro-6ab_(P),7,0.0,0.005094614264919942,0.0,0.0,0.0
