poi_id,poi_type,lat,lon,x,y,mode,edge_id,lane_id,pos,dist_to_edge,status,error_reason
home_105897,home,46.13233,-1.008257,43030.64,41909.98,passenger,-113738647#4,-113738647#4_0,5.52,17.11,mapped,
home_10590,home,46.129543,-1.117736,34581.19,41394.12,pedestrian,46891048#10,46891048#10_0,7.69,12.97,mapped,
home_10590,home,46.129543,-1.117736,34581.19,41394.12,passenger,46891048#10,46891048#10_0,7.69,12.97,mapped,
home_10592,home,46.127522,-1.123463,34144.08,41159.11,pedestrian,177315478,177315478_0,31.37,6.83,mapped,
home_10592,home,46.127522,-1.123463,34144.08,41159.11,passenger,-305107277#9,-305107277#9_0,40.54,49.47,mapped,
home_105926,home,46.134434,-1.011861,42746.40,42136.77,pedestrian,398317468#1,398317468#1_0,62.31,5.65,mapped,
home_105926,home,46.134434,-1.011861,42746.40,42136.77,passenger,398317468#1,398317468#1_0,62.31,5.65,mapped,
home_105927,home,46.120462,-1.021767,42019.89,40565.28,pedestrian,-500996908,-500996908_0,0.10,5.59,mapped,
home_105927,home,46.120462,-1.021767,42019.89,40565.28,passenger,458305959#4,458305959#4_0,1.15,22.47,mapped,
home_105932,home,46.122989,-1.007481,43116.62,40873.63,pedestrian,191646793#2,191646793#2_0,54.78,17.67,mapped,
home_105932,home,46.122989,-1.007481,43116.62,40873.63,passenger,191646793#2,191646793#2_0,54.78,17.67,mapped,
home_105942,home,46.133214,-1.008525,43007.48,42007.68,pedestrian,-113738651#1,-113738651#1_0,0.10,5.52,mapped,
home_105942,home,46.133214,-1.008525,43007.48,42007.68,passenger,-113738651#1,-113738651#1_0,0.10,5.52,mapped,
home_105949,home,46.123877,-1.00536,43278.01,40976.40,pedestrian,671412477,671412477_0,0.10,13.54,mapped,
home_105949,home,46.123877,-1.00536,43278.01,40976.40,passenger,-106568763#4,-106568763#4_0,0.10,56.18,mapped,
home_105958,home,46.123975,-1.009209,42980.37,40979.84,pedestrian,191646784#1,191646784#1_0,19.32,1.82,mapped,
home_105958,home,46.123975,-1.009209,42980.37,40979.84,passenger,191646784#1,191646784#1_0,19.32,1.82,mapped,
home_10597,home,46.151953,-1.110852,35053.76,43896.66,pedestrian,130630508,130630508_0,25.02,33.26,mapped,
home_10597,home,46.151953,-1.110852,35053.76,43896.66,passenger,130630508,130630508_0,25.02,33.26,mapped,
home_105973,home,46.128485,-1.006745,43158.16,41485.70,pedestrian,114697922#0,114697922#0_0,13.45,4.00,mapped,
home_105973,home,46.128485,-1.006745,43158.16,41485.70,passenger,114697922#0,114697922#0_0,13.45,4.00,mapped,
home_105985,home,46.126341,-1.009644,42940.18,41241.87,pedestrian,1177584964#0,1177584964#0_0,29.20,4.83,mapped,
home_105985,home,46.126341,-1.009644,42940.18,41241.87,passenger,1177584964#0,1177584964#0_0,29.20,4.83,mapped,
home_105995,home,46.133214,-1.008525,43007.48,42007.68,pedestrian,-113738651#1,-113738651#1_0,0.10,5.52,mapped,
home_105995,home,46.133214,-1.008525,43007.48,42007.68,passenger,-113738651#1,-113738651#1_0,0.10,5.52,mapped,
home_10600,home,46.153197,-1.105951,35428.91,44043.89,pedestrian,111596569#2,111596569#2_0,34.82,24.73,mapped,
home_10600,home,46.153197,-1.105951,35428.91,44043.89,passenger,111596569#2,111596569#2_0,34.82,24.73,mapped,
home_106001,home,46.131127,-1.013001,42667.53,41767.14,pedestrian,113741415#1,113741415#1_0,113.21,13.96,mapped,
home_106001,home,46.131127,-1.013001,42667.53,41767.14,passenger,113741415#1,113741415#1_0,113.21,13.96,mapped,
home_106006,home,46.131681,-1.011704,42766.18,41831.20,pedestrian,-113741414#0,-113741414#0_0,6.41,12.94,mapped,
home_106006,home,46.131681,-1.011704,42766.18,41831.20,passenger,-113741414#0,-113741414#0_0,6.41,12.94,mapped,
home_106008,home,46.13069,-1.00805,43051.20,41728.16,pedestrian,227879619#2,227879619#2_0,3.31,6.92,mapped,
home_106008,home,46.13069,-1.00805,43051.20,41728.16,passenger,227879619#2,227879619#2_0,3.31,6.92,mapped,
home_106029,home,46.128357,-0.989001,44529.26,41506.02,pedestrian,119763466#1,119763466#1_0,121.64,51.61,mapped,
home_106029,home,46.128357,-0.989001,44529.26,41506.02,passenger,119763466#1,119763466#1_0,121.64,51.61,mapped,
home_106036,home,46.113542,-1.01242,42761.29,39814.45,pedestrian,400734338#2,400734338#2_0,29.78,13.92,mapped,
home_106036,home,46.113542,-1.01242,42761.29,39814.45,passenger,400734338#2,400734338#2_0,29.78,13.92,mapped,
home_106057,home,46.129524,-1.010902,42834.14,41593.09,pedestrian,1430546099,1430546099_0,7.14,4.74,mapped,
home_106057,home,46.129524,-1.010902,42834.14,41593.09,passenger,1430546099,1430546099_0,7.14,4.74,mapped,
home_106060,home,46.130583,-1.005815,43224.15,41720.60,pedestrian,122536226,122536226_0,108.96,9.16,mapped,
home_106060,home,46.130583,-1.005815,43224.15,41720.60,passenger,113738648#3,113738648#3_0,2.26,14.04,mapped,
home_106073,home,46.124172,-1.022346,41964.89,40976.38,pedestrian,122658899,122658899_0,57.38,2.07,mapped,
home_106073,home,46.124172,-1.022346,41964.89,40976.38,passenger,227879607#1,227879607#1_0,3.06,23.80,mapped,
home_106088,home,46.119644,-1.023045,41923.41,40471.94,pedestrian,-1123206799,-1123206799_0,60.97,14.97,mapped,
home_106088,home,46.119644,-1.023045,41923.41,40471.94,passenger,124048160,124048160_0,0.10,35.83,mapped,
home_106093,home,46.129795,-0.999516,43712.94,41645.29,pedestrian,119763468,119763468_0,0.10,25.34,mapped,
home_106093,home,46.129795,-0.999516,43712.94,41645.29,passenger,119763468,119763468_0,0.10,25.34,mapped,
home_106113,home,46.128511,-1.014936,42525.32,41472.75,pedestrian,-227879632,-227879632_0,2.28,7.08,mapped,
home_106113,home,46.128511,-1.014936,42525.32,41472.75,passenger,-131113271#4,-131113271#4_0,8.31,10.88,mapped,
home_106114,home,46.132661,-1.003157,43423.67,41956.64,pedestrian,113747974#4,113747974#4_0,68.37,17.33,mapped,
home_106114,home,46.132661,-1.003157,43423.67,41956.64,passenger,113747974#4,113747974#4_0,68.37,17.33,mapped,
home_106142,home,46.133597,-1.010528,42851.69,42046.35,pedestrian,-113737267#1,-113737267#1_0,117.32,17.12,mapped,
home_106142,home,46.133597,-1.010528,42851.69,42046.35,passenger,-113737267#1,-113737267#1_0,117.32,17.12,mapped,
home_106144,home,46.129601,-1.008532,43017.00,41606.23,pedestrian,114697915#1,114697915#1_0,12.84,12.43,mapped,
