person_id,status,reason
123241,skipped_no_route,"no car route 190928066#3->79813555#9 (disconnected components (vclass=passenger, component_visits~24))"
123242,ok,
123291,ok,
123292,ok,
123327,ok,
123328,ok,
123400,ok,
123401,ok,
123405,ok,
123411,ok,
123412,ok,
123413,ok,
123414,ok,
123415,skipped_no_route,"no car route -132430536#0->-696517148#0 (disconnected components (vclass=passenger, component_visits~154534))"
123416,ok,
123435,ok,
123436,ok,
123437,ok,
123438,ok,
123447,ok,
123448,ok,
123453,ok,
123454,ok,
123465,ok,
123466,ok,
123510,skipped_no_route,"no car route -79813552#10->-696517148#0 (disconnected components (vclass=passenger, component_visits~154534))"
123511,ok,
123512,ok,
123513,ok,
123520,ok,
123521,ok,
123531,ok,
12416,ok,
12475,ok,
12550,ok,
12551,ok,
12558,ok,
12559,ok,
12567,ok,
12569,ok,
12599,ok,
12701,ok,
12759,ok,
12760,ok,
12769,ok,
12770,ok,
12862,ok,
12976,ok,
1309,ok,
13098,ok,
13099,ok,
13132,ok,
13190,ok,
13191,ok,
13202,ok,
13203,ok,
13204,ok,
13205,ok,
13223,ok,
13248,ok,
13249,ok,
13250,ok,
1326,ok,
13284,ok,
13290,ok,
13291,ok,
13355,ok,
13421,ok,
13422,ok,
13431,ok,
13440,ok,
13441,ok,
13507,ok,
13508,ok,
13687,ok,
13688,skipped_no_route,"no car route 97681653#0->-46914823#28 (disconnected components (vclass=passenger, component_visits~4))"
13710,ok,
1382,ok,
1384,ok,
13935,ok,
13942,ok,
13943,ok,
13955,ok,
13956,ok,
13977,ok,
13978,ok,
140,ok,
14019,ok,
14056,ok,
14057,ok,
14058,ok,
1406,ok,
1407,ok,
1408,ok,
1409,ok,
14153,ok,
14156,ok,
14158,ok,
142,ok,
142831,ok,
142832,ok,
142873,ok,
142874,ok,
142875,ok,
142876,ok,
142903,ok,
142904,ok,
142905,ok,
142906,ok,
142907,ok,
142931,ok,
142932,ok,
142935,ok,
142939,ok,
142940,ok,
142948,ok,
142949,ok,
142967,ok,
142968,ok,
