,Age class,HTS,HTS adjust with INSEE population weights,EQASIM,Proportion_HTS,Proportion_EQASIM
0,0-10,46361.7168996,53169.14133453302,210754.54545454544,0.02274470625596611,0.08936714813829685
1,11-14,25794.7673334,29582.287321476935,106990.90909090909,0.012654716977149634,0.04536781117368829
2,15-17,29403.8256846,33721.27410609244,79900.0,0.01442529359829702,0.03388033753127253
3,18-24,102517.0262376,117569.89649514064,157018.18181818182,0.050294074593029155,0.06658108884288759
4,25-49,873735.3442705,1002028.4216199054,615027.2727272727,0.42864792505256427,0.2607926356813267
5,50-64,448705.26783090003,514589.95477918664,480663.63636363635,0.22013139708392623,0.2038178503004861
6,65+,511834.0259501,586988.090292202,707945.4545454546,0.25110188643906756,0.300193128332042
