,Number of vehicles class,HTS,HTS adjust with INSEE population weights,EQASIM,Proportion_HTS,Proportion_EQASIM
0,0,125386.76221293,278839.4542208062,161381.81818181818,0.4174145902622883,0.47475395806589643
1,1,105372.49247352,234331.02324873995,105445.45454545454,0.3507867576647157,0.3102000427899016
2,2,36277.89749727,80676.05351543224,19372.727272727272,0.12076971645288005,0.05699080017115961
3,3+,5815.9619654,12933.739029381126,0.0,0.01936143288113512,0.0
