person_id;person_trip_id;leg_index;access_stop_id;egress_stop_id;transit_line_id;transit_route_id;departure_id;access_area_id;egress_area_id;transit_mode
10372;3;14;MOBIITI:Quay:113804.link:125310;MOBIITI:Quay:114416.link:24836;CA_LA_ROCHELLE:Line:8;CA_LA_ROCHELLE:VehicleJourney:C3319135;;MOBIITI:StopPlace:78680;MOBIITI:StopPlace:78999;bus
10372;4;17;MOBIITI:Quay:114415.link:24841;MOBIITI:Quay:114412.link:24821;CA_LA_ROCHELLE:Line:8;CA_LA_ROCHELLE:VehicleJourney:C3319162;;MOBIITI:StopPlace:78999;MOBIITI:StopPlace:78997;bus
10377;0;1;MOBIITI:Quay:114415.link:24841;MOBIITI:Quay:113803.link:153999;CA_LA_ROCHELLE:Line:8;CA_LA_ROCHELLE:VehicleJourney:C3319099;;MOBIITI:StopPlace:78999;MOBIITI:StopPlace:78680;bus
10377;0;3;MOBIITI:Quay:113804.link:125310;MOBIITI:Quay:114273.link:207133;CA_LA_ROCHELLE:Line:20;CA_LA_ROCHELLE:VehicleJourney:C3360827;;MOBIITI:StopPlace:78680;MOBIITI:StopPlace:78917;bus
10463;0;1;MOBIITI:Quay:114419.link:199116;MOBIITI:Quay:113828.link:166175;CA_LA_ROCHELLE:Line:8;CA_LA_ROCHELLE:VehicleJourney:C3319142;;MOBIITI:StopPlace:79001;MOBIITI:StopPlace:78687;bus
10463;1;4;MOBIITI:Quay:113830.link:166164;MOBIITI:Quay:114420.link:199117;CA_LA_ROCHELLE:Line:8;CA_LA_ROCHELLE:VehicleJourney:C3319135;;MOBIITI:StopPlace:78687;MOBIITI:StopPlace:79001;bus
10596;0;1;MOBIITI:Quay:113768.link:123737;MOBIITI:Quay:113785.link:208455_spec;CA_LA_ROCHELLE:Line:1;CA_LA_ROCHELLE:VehicleJourney:C3348604;;MOBIITI:StopPlace:78661;MOBIITI:StopPlace:78670;bus
10596;0;3;MOBIITI:Quay:113786.link:151364;MOBIITI:Quay:114543.link:145196;CA_LA_ROCHELLE:Line:3;CA_LA_ROCHELLE:VehicleJourney:C3360426;;MOBIITI:StopPlace:78670;MOBIITI:StopPlace:79074;bus
10596;1;6;MOBIITI:Quay:114544.link:145195;MOBIITI:Quay:114193.link:186278;CA_LA_ROCHELLE:Line:3;CA_LA_ROCHELLE:VehicleJourney:C3360536;;MOBIITI:StopPlace:79074;MOBIITI:StopPlace:78877;bus
10596;1;8;MOBIITI:Quay:114193.link:10378;MOBIITI:Quay:114622.link:17966;CA_LA_ROCHELLE:Line:5;CA_LA_ROCHELLE:VehicleJourney:C3350345;;MOBIITI:StopPlace:78877;MOBIITI:StopPlace:79120;bus
